"","value","param","species"
"1",5.29871945991181,"theta","dichotomius_satanas"
"2",5.29862831020728,"theta","dichotomius_satanas"
"3",4.94632066017948,"theta","dichotomius_satanas"
"4",5.48345334618352,"theta","dichotomius_satanas"
"5",5.62723820470273,"theta","dichotomius_satanas"
"6",5.78065197006799,"theta","dichotomius_satanas"
"7",5.59302351227961,"theta","dichotomius_satanas"
"8",5.75662747980095,"theta","dichotomius_satanas"
"9",5.71718561602756,"theta","dichotomius_satanas"
"10",4.92212807317264,"theta","dichotomius_satanas"
"11",3.73181176860817,"theta","dichotomius_satanas"
"12",4.91737438621931,"theta","dichotomius_satanas"
"13",5.95466336375102,"theta","dichotomius_satanas"
"14",5.06202483805828,"theta","dichotomius_satanas"
"15",5.81768782716244,"theta","dichotomius_satanas"
"16",5.95795000344515,"theta","dichotomius_satanas"
"17",5.59766097017564,"theta","dichotomius_satanas"
"18",5.2260730615817,"theta","dichotomius_satanas"
"19",5.37697270535864,"theta","dichotomius_satanas"
"20",5.05647938838229,"theta","dichotomius_satanas"
"21",4.39102733996697,"theta","dichotomius_satanas"
"22",5.89258183166385,"theta","dichotomius_satanas"
"23",4.4062507096678,"theta","dichotomius_satanas"
"24",5.53357088379562,"theta","dichotomius_satanas"
"25",5.77728417725302,"theta","dichotomius_satanas"
"26",5.96999510796741,"theta","dichotomius_satanas"
"27",5.09094483358786,"theta","dichotomius_satanas"
"28",5.48946462129243,"theta","dichotomius_satanas"
"29",5.58831006428227,"theta","dichotomius_satanas"
"30",5.62602169136517,"theta","dichotomius_satanas"
"31",5.17560450150631,"theta","dichotomius_satanas"
"32",5.28408541716635,"theta","dichotomius_satanas"
"33",5.6531885524746,"theta","dichotomius_satanas"
"34",5.96202757814899,"theta","dichotomius_satanas"
"35",5.91772200912237,"theta","dichotomius_satanas"
"36",4.70853549800813,"theta","dichotomius_satanas"
"37",5.69066473306157,"theta","dichotomius_satanas"
"38",5.89603839931078,"theta","dichotomius_satanas"
"39",4.98138918564655,"theta","dichotomius_satanas"
"40",5.98333282652311,"theta","dichotomius_satanas"
"41",4.99440347217023,"theta","dichotomius_satanas"
"42",5.59721649880521,"theta","dichotomius_satanas"
"43",4.99620955227874,"theta","dichotomius_satanas"
"44",5.40855707391165,"theta","dichotomius_satanas"
"45",5.71809241687879,"theta","dichotomius_satanas"
"46",5.59081379929557,"theta","dichotomius_satanas"
"47",5.04576793080196,"theta","dichotomius_satanas"
"48",5.7220020077657,"theta","dichotomius_satanas"
"49",5.86880886601284,"theta","dichotomius_satanas"
"50",4.89798671589233,"theta","dichotomius_satanas"
"51",5.18777065700851,"theta","dichotomius_satanas"
"52",5.6966162591707,"theta","dichotomius_satanas"
"53",5.33250727015547,"theta","dichotomius_satanas"
"54",4.1716680387035,"theta","dichotomius_satanas"
"55",5.63997308514081,"theta","dichotomius_satanas"
"56",5.88445178139955,"theta","dichotomius_satanas"
"57",3.86328465910628,"theta","dichotomius_satanas"
"58",5.10172006697394,"theta","dichotomius_satanas"
"59",5.76453146897256,"theta","dichotomius_satanas"
"60",5.8895864340011,"theta","dichotomius_satanas"
"61",5.112805549521,"theta","dichotomius_satanas"
"62",5.93605776457116,"theta","dichotomius_satanas"
"63",5.55422546714544,"theta","dichotomius_satanas"
"64",5.81059655314311,"theta","dichotomius_satanas"
"65",5.93945376714692,"theta","dichotomius_satanas"
"66",5.89708493114449,"theta","dichotomius_satanas"
"67",3.88055353332311,"theta","dichotomius_satanas"
"68",4.63342907745391,"theta","dichotomius_satanas"
"69",5.30003426037729,"theta","dichotomius_satanas"
"70",5.7521381417755,"theta","dichotomius_satanas"
"71",4.97661894792691,"theta","dichotomius_satanas"
"72",5.72581012523733,"theta","dichotomius_satanas"
"73",5.33576760115102,"theta","dichotomius_satanas"
"74",5.46562932571396,"theta","dichotomius_satanas"
"75",5.96098979376256,"theta","dichotomius_satanas"
"76",5.16304711368866,"theta","dichotomius_satanas"
"77",3.8048587043304,"theta","dichotomius_satanas"
"78",5.77917052805424,"theta","dichotomius_satanas"
"79",5.71995725529268,"theta","dichotomius_satanas"
"80",5.67614587629214,"theta","dichotomius_satanas"
"81",5.54680682625622,"theta","dichotomius_satanas"
"82",5.17756694369018,"theta","dichotomius_satanas"
"83",5.14068584796041,"theta","dichotomius_satanas"
"84",4.73471866827458,"theta","dichotomius_satanas"
"85",5.98917376040481,"theta","dichotomius_satanas"
"86",5.72971441107802,"theta","dichotomius_satanas"
"87",5.25305435666814,"theta","dichotomius_satanas"
"88",5.85384611762129,"theta","dichotomius_satanas"
"89",5.64109847205691,"theta","dichotomius_satanas"
"90",5.88450760487467,"theta","dichotomius_satanas"
"91",4.48872593953274,"theta","dichotomius_satanas"
"92",5.29606463760138,"theta","dichotomius_satanas"
"93",5.23564227181487,"theta","dichotomius_satanas"
"94",5.45354915224016,"theta","dichotomius_satanas"
"95",5.41091306624003,"theta","dichotomius_satanas"
"96",5.55912151723169,"theta","dichotomius_satanas"
"97",5.18003866565414,"theta","dichotomius_satanas"
"98",5.41945847356692,"theta","dichotomius_satanas"
"99",5.30345914908685,"theta","dichotomius_satanas"
"100",5.51935735763982,"theta","dichotomius_satanas"
"101",5.20073338667862,"theta","dichotomius_satanas"
"102",5.28832554025576,"theta","dichotomius_satanas"
"103",5.1404482384678,"theta","dichotomius_satanas"
"104",5.70732093090191,"theta","dichotomius_satanas"
"105",5.47199297486804,"theta","dichotomius_satanas"
"106",5.9508859985508,"theta","dichotomius_satanas"
"107",5.94363097357564,"theta","dichotomius_satanas"
"108",5.80435592005961,"theta","dichotomius_satanas"
"109",4.91264861798845,"theta","dichotomius_satanas"
"110",4.83987185894512,"theta","dichotomius_satanas"
"111",5.61514677386731,"theta","dichotomius_satanas"
"112",4.6023104574997,"theta","dichotomius_satanas"
"113",5.86222665756941,"theta","dichotomius_satanas"
"114",4.190204865532,"theta","dichotomius_satanas"
"115",5.44933768245392,"theta","dichotomius_satanas"
"116",4.66116471705027,"theta","dichotomius_satanas"
"117",5.19554082327522,"theta","dichotomius_satanas"
"118",5.42635487415828,"theta","dichotomius_satanas"
"119",5.46013837005012,"theta","dichotomius_satanas"
"120",4.69795171893202,"theta","dichotomius_satanas"
"121",5.91509331041016,"theta","dichotomius_satanas"
"122",4.59241280704737,"theta","dichotomius_satanas"
"123",5.92786861606874,"theta","dichotomius_satanas"
"124",5.25745790824294,"theta","dichotomius_satanas"
"125",5.50537602999248,"theta","dichotomius_satanas"
"126",5.60031414055265,"theta","dichotomius_satanas"
"127",5.90985360462219,"theta","dichotomius_satanas"
"128",5.67469332739711,"theta","dichotomius_satanas"
"129",5.86774366698228,"theta","dichotomius_satanas"
"130",5.34194701141678,"theta","dichotomius_satanas"
"131",4.58727681916207,"theta","dichotomius_satanas"
"132",5.33088681078516,"theta","dichotomius_satanas"
"133",3.86724220146425,"theta","dichotomius_satanas"
"134",5.40776407020167,"theta","dichotomius_satanas"
"135",5.66325393063016,"theta","dichotomius_satanas"
"136",5.61553147528321,"theta","dichotomius_satanas"
"137",5.81464829412289,"theta","dichotomius_satanas"
"138",4.69713594554923,"theta","dichotomius_satanas"
"139",5.74361977656372,"theta","dichotomius_satanas"
"140",4.74057032400742,"theta","dichotomius_satanas"
"141",5.91910864948295,"theta","dichotomius_satanas"
"142",5.61398325976916,"theta","dichotomius_satanas"
"143",5.3328428035602,"theta","dichotomius_satanas"
"144",5.28947472479194,"theta","dichotomius_satanas"
"145",5.83783396659419,"theta","dichotomius_satanas"
"146",5.60157146910205,"theta","dichotomius_satanas"
"147",5.47761410148814,"theta","dichotomius_satanas"
"148",4.7385288241785,"theta","dichotomius_satanas"
"149",5.78157402947545,"theta","dichotomius_satanas"
"150",4.15295071224682,"theta","dichotomius_satanas"
"151",5.91379917599261,"theta","dichotomius_satanas"
"152",5.63927201344632,"theta","dichotomius_satanas"
"153",5.17291382909752,"theta","dichotomius_satanas"
"154",4.85567782795988,"theta","dichotomius_satanas"
"155",5.08875897992402,"theta","dichotomius_satanas"
"156",5.80712001211941,"theta","dichotomius_satanas"
"157",5.73353970446624,"theta","dichotomius_satanas"
"158",5.89175637136213,"theta","dichotomius_satanas"
"159",5.68568700132892,"theta","dichotomius_satanas"
"160",4.76707100193016,"theta","dichotomius_satanas"
"161",5.58480044151656,"theta","dichotomius_satanas"
"162",5.85968582564965,"theta","dichotomius_satanas"
"163",5.19455507886596,"theta","dichotomius_satanas"
"164",5.87404941115528,"theta","dichotomius_satanas"
"165",5.54459663131274,"theta","dichotomius_satanas"
"166",4.57798583223484,"theta","dichotomius_satanas"
"167",5.49001112603582,"theta","dichotomius_satanas"
"168",5.93705304572359,"theta","dichotomius_satanas"
"169",5.87606516689993,"theta","dichotomius_satanas"
"170",4.8338861160446,"theta","dichotomius_satanas"
"171",5.9545676051639,"theta","dichotomius_satanas"
"172",5.19882915681228,"theta","dichotomius_satanas"
"173",4.57697530416772,"theta","dichotomius_satanas"
"174",4.96130136912689,"theta","dichotomius_satanas"
"175",5.53929383424111,"theta","dichotomius_satanas"
"176",5.89790867781267,"theta","dichotomius_satanas"
"177",5.61807750049047,"theta","dichotomius_satanas"
"178",5.02568737161346,"theta","dichotomius_satanas"
"179",5.51003125985153,"theta","dichotomius_satanas"
"180",4.27090584556572,"theta","dichotomius_satanas"
"181",5.77422321098857,"theta","dichotomius_satanas"
"182",5.44762446801178,"theta","dichotomius_satanas"
"183",5.65446206275374,"theta","dichotomius_satanas"
"184",5.76393446908332,"theta","dichotomius_satanas"
"185",5.32312402524985,"theta","dichotomius_satanas"
"186",5.83713460969739,"theta","dichotomius_satanas"
"187",5.92651125881821,"theta","dichotomius_satanas"
"188",5.76723358617164,"theta","dichotomius_satanas"
"189",5.21399058075622,"theta","dichotomius_satanas"
"190",5.63158906903118,"theta","dichotomius_satanas"
"191",5.1986072959844,"theta","dichotomius_satanas"
"192",5.49615455465391,"theta","dichotomius_satanas"
"193",4.41440538875759,"theta","dichotomius_satanas"
"194",5.8755856056232,"theta","dichotomius_satanas"
