"","Var1","Var2","value","pop.x","pop.y","relative_coancestry","species"
"1","1575_001","1575_001",0,"1575","1575",0,"dichotomius_satanas"
"2","1575_002","1575_001",2.22809,"1575","1575",0.788992092692203,"dichotomius_satanas"
"3","1575_003","1575_001",2.23661,"1575","1575",0.792009121909935,"dichotomius_satanas"
"4","1575_004","1575_001",2.31858,"1575","1575",0.821035634231242,"dichotomius_satanas"
"5","1575_005","1575_001",2.18405,"1575","1575",0.773397026172374,"dichotomius_satanas"
"6","1575_021","1575_001",2.23937,"1575","1575",0.792986469403004,"dichotomius_satanas"
"7","1575_022","1575_001",2.24926,"1575","1575",0.796488631253165,"dichotomius_satanas"
"8","1575_023","1575_001",2.27508,"1575","1575",0.805631787873101,"dichotomius_satanas"
"9","1575_024","1575_001",2.11029,"1575","1575",0.747277768531535,"dichotomius_satanas"
"10","1575_025","1575_001",2.11432,"1575","1575",0.748704837515979,"dichotomius_satanas"
"11","1575_056","1575_001",2.17788,"1575","1575",0.771212158769392,"dichotomius_satanas"
"12","1575_057","1575_001",2.20732,"1575","1575",0.781637198695454,"dichotomius_satanas"
"13","1575_058","1575_001",2.34952,"1575","1575",0.831991841273101,"dichotomius_satanas"
"14","1575_059","1575_001",2.1993,"1575","1575",0.778797225182987,"dichotomius_satanas"
"15","1575_060","1575_001",2.11019,"1575","1575",0.747242357390482,"dichotomius_satanas"
"16","1575_069","1575_001",2.24628,"1575","1575",0.79543337924978,"dichotomius_satanas"
"17","1575_070","1575_001",2.10047,"1575","1575",0.743800394480111,"dichotomius_satanas"
"18","1575_071","1575_001",2.21088,"1575","1575",0.782897835316947,"dichotomius_satanas"
"19","1575_072","1575_001",2.32674,"1575","1575",0.823925183341183,"dichotomius_satanas"
"20","1575_073","1575_001",2.21633,"1575","1575",0.784827742504347,"dichotomius_satanas"
"21","1700_006","1575_001",2.07584,"1700","1575",0.735078630438709,"dichotomius_satanas"
"22","1700_007","1575_001",2.25971,"1700","1575",0.800189095493224,"dichotomius_satanas"
"23","1700_008","1575_001",2.33637,"1700","1575",0.827335276224606,"dichotomius_satanas"
"24","1700_009","1575_001",2.18638,"1700","1575",0.774222105758914,"dichotomius_satanas"
"25","1700_010","1575_001",2.21649,"1700","1575",0.784884400330032,"dichotomius_satanas"
"26","1700_026","1575_001",2.23317,"1700","1575",0.790790978657705,"dichotomius_satanas"
"27","1700_027","1575_001",2.17148,"1700","1575",0.768945845741987,"dichotomius_satanas"
"28","1700_028","1575_001",2.08784,"1700","1575",0.739327967365092,"dichotomius_satanas"
"29","1700_029","1575_001",2.2786,"1700","1575",0.806878260038173,"dichotomius_satanas"
"30","1700_030","1575_001",2.17198,"1700","1575",0.769122901447253,"dichotomius_satanas"
"31","1700_062","1575_001",2.52156,"1700","1575",0.892913168341023,"dichotomius_satanas"
"32","1700_063","1575_001",2.19964,"1700","1575",0.778917623062568,"dichotomius_satanas"
"33","1700_064","1575_001",2.19979,"1700","1575",0.778970739774148,"dichotomius_satanas"
"34","1700_065","1575_001",2.29365,"1700","1575",0.81220763676668,"dichotomius_satanas"
"35","1700_074","1575_001",2.17922,"1700","1575",0.771686668059505,"dichotomius_satanas"
"36","1700_075","1575_001",2.21149,"1700","1575",0.783113843277372,"dichotomius_satanas"
"37","1700_076","1575_001",2.32889,"1700","1575",0.824686522873826,"dichotomius_satanas"
"38","1700_077","1575_001",2.22633,"1700","1575",0.788368856609666,"dichotomius_satanas"
"39","1700_078","1575_001",2.20145,"1700","1575",0.779558564715631,"dichotomius_satanas"
"40","1825_011","1575_001",2.18316,"1825","1575",0.773081867017001,"dichotomius_satanas"
"41","1825_012","1575_001",2.27936,"1825","1575",0.807147384710178,"dichotomius_satanas"
"42","1825_013","1575_001",2.32844,"1825","1575",0.824527172739087,"dichotomius_satanas"
"43","1825_014","1575_001",2.47675,"1825","1575",0.877045436035085,"dichotomius_satanas"
"44","1825_015","1575_001",2.11758,"1825","1575",0.749859240714313,"dichotomius_satanas"
"45","1825_031","1575_001",2.23874,"1825","1575",0.792763379214368,"dichotomius_satanas"
"46","1825_032","1575_001",2.22856,"1825","1575",0.789158525055153,"dichotomius_satanas"
"47","1825_033","1575_001",2.11873,"1825","1575",0.750266468836425,"dichotomius_satanas"
"48","1825_034","1575_001",2.47576,"1825","1575",0.876694865738659,"dichotomius_satanas"
"49","1825_035","1575_001",2.242,"1825","1575",0.793917782412703,"dichotomius_satanas"
"50","1825_079","1575_001",2.2082,"1825","1575",0.781948816736722,"dichotomius_satanas"
"51","1825_080","1575_001",2.25084,"1825","1575",0.797048127281805,"dichotomius_satanas"
"52","1950_0115","1575_001",2.23689,"1950","1575",0.792108273104884,"dichotomius_satanas"
"53","1950_0116","1575_001",2.1442,"1950","1575",0.759285686462675,"dichotomius_satanas"
"54","1950_0117","1575_001",2.15906,"1950","1575",0.76454778202318,"dichotomius_satanas"
"55","1950_0118","1575_001",1.99041,"1950","1575",0.704826892636961,"dichotomius_satanas"
"56","1950_0119","1575_001",2.37593,"1950","1575",0.841343923625251,"dichotomius_satanas"
"57","1950_0120","1575_001",2.23758,"1950","1575",0.792352609978151,"dichotomius_satanas"
"58","1950_0121","1575_001",2.21366,"1950","1575",0.783882265038226,"dichotomius_satanas"
"59","1950_016","1575_001",2.27173,"1950","1575",0.804445514647818,"dichotomius_satanas"
"60","1950_017","1575_001",2.29374,"1950","1575",0.812239506793627,"dichotomius_satanas"
"61","1950_018","1575_001",2.49747,"1950","1575",0.884382624461308,"dichotomius_satanas"
"62","1950_019","1575_001",2.1248,"1950","1575",0.752415925098354,"dichotomius_satanas"
"63","1950_020","1575_001",2.03032,"1950","1575",0.718959479031293,"dichotomius_satanas"
"64","1950_036","1575_001",2.397,"1950","1575",0.84880505104516,"dichotomius_satanas"
"65","1950_037","1575_001",2.19883,"1950","1575",0.778630792820037,"dichotomius_satanas"
"66","1950_038","1575_001",2.35243,"1950","1575",0.833022305477749,"dichotomius_satanas"
"67","1950_039","1575_001",2.16007,"1950","1575",0.764905434547817,"dichotomius_satanas"
"68","1950_040","1575_001",2.1942,"1950","1575",0.776991256989274,"dichotomius_satanas"
"69","1950_066","1575_001",2.1552,"1950","1575",0.763180911978527,"dichotomius_satanas"
"70","1950_067","1575_001",2.45813,"1950","1575",0.87045188157098,"dichotomius_satanas"
"71","1950_068","1575_001",2.17213,"1950","1575",0.769176018158833,"dichotomius_satanas"
"72","1950_081","1575_001",2.06075,"1950","1575",0.729735089253781,"dichotomius_satanas"
"73","1950_082","1575_001",2.45818,"1950","1575",0.870469587141506,"dichotomius_satanas"
"74","1950_083","1575_001",2.31013,"1950","1575",0.818043392812247,"dichotomius_satanas"
"75","1950_084","1575_001",2.16777,"1950","1575",0.767632092408914,"dichotomius_satanas"
"76","1950_085","1575_001",2.26165,"1950","1575",0.800876071629656,"dichotomius_satanas"
"77","HU3_099","1575_001",2.24576,"HU3","1575",0.795249241316303,"dichotomius_satanas"
"78","HU3_100","1575_001",2.21184,"HU3","1575",0.783237782271058,"dichotomius_satanas"
"79","HU3_101","1575_001",2.23313,"HU3","1575",0.790776814201284,"dichotomius_satanas"
"80","HU3_102","1575_001",2.32427,"HU3","1575",0.823050528157169,"dichotomius_satanas"
"81","HU3_103","1575_001",2.19769,"HU3","1575",0.778227105812031,"dichotomius_satanas"
"82","HU3_104","1575_001",2.26304,"HU3","1575",0.801368286490296,"dichotomius_satanas"
"83","HU3_105","1575_001",2.139,"HU3","1575",0.757444307127908,"dichotomius_satanas"
"84","HU3_106","1575_001",2.31193,"HU3","1575",0.818680793351204,"dichotomius_satanas"
"85","HU4_172","1575_001",2.57352,"HU4","1575",0.911312797232265,"dichotomius_satanas"
"86","HU4_173","1575_001",2.18166,"HU4","1575",0.772550699901203,"dichotomius_satanas"
"87","HU4_174","1575_001",2.30036,"HU4","1575",0.814583724331349,"dichotomius_satanas"
"88","HU4_175","1575_001",2.20091,"HU4","1575",0.779367344553944,"dichotomius_satanas"
"89","HU4_176","1575_001",2.15318,"HU4","1575",0.762465606929252,"dichotomius_satanas"
"90","HU4_177","1575_001",2.31287,"HU4","1575",0.819013658077104,"dichotomius_satanas"
"91","HU4_178","1575_001",2.23881,"HU4","1575",0.792788167013106,"dichotomius_satanas"
"92","HU4_179","1575_001",2.22676,"HU4","1575",0.788521124516195,"dichotomius_satanas"
"93","MA2150_225","1575_001",2.27562,"MA2150","1575",0.805823008034788,"dichotomius_satanas"
"94","MA2150_228","1575_001",2.31273,"MA2150","1575",0.81896408247963,"dichotomius_satanas"
"95","MA2150_229","1575_001",2.32402,"MA2150","1575",0.822962000304536,"dichotomius_satanas"
"96","MA2150_231","1575_001",2.19492,"MA2150","1575",0.777246217204857,"dichotomius_satanas"
"97","YY2150_234","1575_001",2.17987,"YY2150","1575",0.771916840476351,"dichotomius_satanas"
"98","YY2150_236","1575_001",2.26361,"YY2150","1575",0.801570129994299,"dichotomius_satanas"
"99","YY2150_237","1575_001",2.25186,"YY2150","1575",0.797409320920548,"dichotomius_satanas"
"100","1575_001","1575_002",2.21518,"1575","1575",0.784420514382235,"dichotomius_satanas"
"101","1575_002","1575_002",0,"1575","1575",0,"dichotomius_satanas"
"102","1575_003","1575_002",2.25145,"1575","1575",0.79726413524223,"dichotomius_satanas"
"103","1575_004","1575_002",2.15055,"1575","1575",0.761534293919553,"dichotomius_satanas"
"104","1575_005","1575_002",2.1432,"1575","1575",0.758931575052143,"dichotomius_satanas"
"105","1575_021","1575_002",2.25322,"1575","1575",0.797890912438871,"dichotomius_satanas"
"106","1575_022","1575_002",2.16926,"1575","1575",0.768159718410606,"dichotomius_satanas"
"107","1575_023","1575_002",2.15477,"1575","1575",0.763028644071998,"dichotomius_satanas"
"108","1575_024","1575_002",2.26541,"1575","1575",0.802207530533256,"dichotomius_satanas"
"109","1575_025","1575_002",2.39816,"1575","1575",0.849215820281377,"dichotomius_satanas"
"110","1575_056","1575_002",2.21987,"1575","1575",0.78608129689763,"dichotomius_satanas"
