sample_ID,ddocent_ID,morpho_species,sex,species,locality,short_locality,lat,long,elevation
DI7-191-800,800_191,Dichotomius-sp7,UNK,Dichotomius-podalirius,CC1-800,800,-0.940448,-77.890906,800
DI7-192-800,800_192,Dichotomius-sp7,UNK,Dichotomius-podalirius,CC1-800,800,-0.940448,-77.890906,800
DI7-193-800,800_193,Dichotomius-sp7,UNK,Dichotomius-podalirius,CC1-800,800,-0.940448,-77.890906,800
DI7-194-800,800_194,Dichotomius-sp7,UNK,Dichotomius-podalirius,CC1-800,800,-0.940448,-77.890906,800
DI7-195-800,800_195,Dichotomius-sp7,UNK,Dichotomius-podalirius,CC1-800,800,-0.940448,-77.890906,800
DI7-196-800,800_196,Dichotomius-sp7,UNK,Dichotomius-podalirius,CC1-800,800,-0.940448,-77.890906,800
DI7-197-800,800_197,Dichotomius-sp7,UNK,Dichotomius-podalirius,CC1-800,800,-0.940448,-77.890906,800
DI7-198-800,800_198,Dichotomius-sp7,UNK,Dichotomius-podalirius,CC1-800,800,-0.940448,-77.890906,800
DI7-199-800,800_199,Dichotomius-sp7,UNK,Dichotomius-podalirius,CC1-800,800,-0.940448,-77.890906,800
DI7-200-800,800_200,Dichotomius-sp7,UNK,Dichotomius-podalirius,CC1-800,800,-0.940448,-77.890906,800
EU-162-800,800_162,UNK,UNK,Eurysternus-affin-flocossus,CC1-800,800,-0.940448,-77.890906,800
EU-163-800,800_163,UNK,UNK,Eurysternus-affin-flocossus,CC1-800,800,-0.940448,-77.890906,800
EU-164-800,800_164,UNK,UNK,Eurysternus-affin-flocossus,CC1-800,800,-0.940448,-77.890906,800
EU-165-800,800_165,UNK,UNK,Eurysternus-affin-flocossus,CC1-800,800,-0.940448,-77.890906,800
EU-166-800,800_166,UNK,UNK,Eurysternus-affin-flocossus,CC1-800,800,-0.940448,-77.890906,800
EU-167-800,800_167,UNK,UNK,Eurysternus-affin-flocossus,CC1-800,800,-0.940448,-77.890906,800
EU-168-800,800_168,UNK,UNK,Eurysternus-affin-flocossus,CC1-800,800,-0.940448,-77.890906,800
EU-169-800,800_169,UNK,UNK,Eurysternus-affin-flocossus,CC1-800,800,-0.940448,-77.890906,800
EU-170-800,800_170,UNK,UNK,Eurysternus-affin-flocossus,CC1-800,800,-0.940448,-77.890906,800
